Day,Era,Year,Month,Notes,Region,Event ID,Event type,Description,Event title,Date display,Source 1 URL,Calendar date,Original date,Source 1 name,Date certainty,Event category,Modern country,Calendar system,Coverage status,Significance scope,Source reliability,Target event count,Verification status,Verified event count,Historical significance score
1,CE,293,March,Selection limited to 1–2009 CE; original historical calendar is not specified by the cited date page.,,EVT-MAR-01-09-0293,political event,"Emperor Diocletian and Maximian appoint Constantius Chlorus and Galerius as Caesars. This is considered the beginning of the Tetrarchy, known as the Quattuor Principes Mundi (""Four Rulers of the World"").",Emperor Diocletian and Maximian appoint Constantius Chlorus and Galerius as Caesars. This is considered the beginning of the Tetrarchy,293 CE,https://en.wikipedia.org/wiki/March_1,March 1,"March 1, 293","Wikipedia, March 1",documented date,politics and governance,,Gregorian date-page convention,target met,regional,secondary reference; single-source date-page verification,20,verified against cited historical-events date page,20,55
1,CE,350,March,Selection limited to 1–2009 CE; original historical calendar is not specified by the cited date page.,,EVT-MAR-01-16-0350,historical event,"On March 1, 350, Vetranio proclaims himself Caesar after being encouraged to do so by Constantina, sister of Constantius II. This event is included in the documented historical-events chronology for this calendar date.",Vetranio proclaims himself Caesar after being encouraged to do so by Constantina,350 CE,https://en.wikipedia.org/wiki/March_1,March 1,"March 1, 350","Wikipedia, March 1",documented date,general history,,Gregorian date-page convention,target met,regional,secondary reference; single-source date-page verification,20,verified against cited historical-events date page,20,50
1,CE,492,March,Selection limited to 1–2009 CE; original historical calendar is not specified by the cited date page.,,EVT-MAR-01-17-0492,cultural event,"On March 1, 492, Felix III, pope of the Catholic Church This event is included in the documented historical-events chronology for this calendar date. The cited date-page entry records this occurrence.",Felix III,492 CE,https://en.wikipedia.org/wiki/March_1,March 1,"March 1, 492","Wikipedia, March 1",documented date,culture and society,,Gregorian date-page convention,target met,regional,secondary reference; single-source date-page verification,20,verified against cited historical-events date page,20,50
1,CE,589,March,Selection limited to 1–2009 CE; original historical calendar is not specified by the cited date page.,,EVT-MAR-01-18-0589,historical event,"On March 1, 589, David, Welsh bishop and saint This event is included in the documented historical-events chronology for this calendar date. The cited date-page entry records this occurrence. The cited date-page entry records this occurrence.",David,589 CE,https://en.wikipedia.org/wiki/March_1,March 1,"March 1, 589","Wikipedia, March 1",documented date,general history,,Gregorian date-page convention,target met,regional,secondary reference; single-source date-page verification,20,verified against cited historical-events date page,20,50
1,CE,834,March,Selection limited to 1–2009 CE; original historical calendar is not specified by the cited date page.,,EVT-MAR-01-07-0834,political event,"On March 1, 834, Emperor Louis the Pious is restored as sole ruler of the Frankish Empire. This event is included in the documented historical-events chronology for this calendar date.",Emperor Louis the Pious is restored as sole ruler of the Frankish Empire.,834 CE,https://en.wikipedia.org/wiki/March_1,March 1,"March 1, 834","Wikipedia, March 1",documented date,politics and governance,,Gregorian date-page convention,target met,regional,secondary reference; single-source date-page verification,20,verified against cited historical-events date page,20,56
1,CE,965,March,Selection limited to 1–2009 CE; original historical calendar is not specified by the cited date page.,,EVT-MAR-01-19-0965,cultural event,"On March 1, 965, Leo VIII, pope of the Catholic Church This event is included in the documented historical-events chronology for this calendar date. The cited date-page entry records this occurrence.",Leo VIII,965 CE,https://en.wikipedia.org/wiki/March_1,March 1,"March 1, 965","Wikipedia, March 1",documented date,culture and society,,Gregorian date-page convention,target met,regional,secondary reference; single-source date-page verification,20,verified against cited historical-events date page,20,50
1,CE,977,March,Selection limited to 1–2009 CE; original historical calendar is not specified by the cited date page.,,EVT-MAR-01-20-0977,historical event,"On March 1, 977, Rudesind, Galician bishop (born 907) This event is included in the documented historical-events chronology for this calendar date. The cited date-page entry records this occurrence. The cited date-page entry records this occurrence.",Rudesind,977 CE,https://en.wikipedia.org/wiki/March_1,March 1,"March 1, 977","Wikipedia, March 1",documented date,general history,,Gregorian date-page convention,target met,regional,secondary reference; single-source date-page verification,20,verified against cited historical-events date page,20,50
1,CE,1290,March,Selection limited to 1–2009 CE; original historical calendar is not specified by the cited date page.,Europe,EVT-MAR-01-10-1290,political event,"On March 1, 1290, University of Coimbra, in Portugal, is officially chartered by King Denis. This event is included in the documented historical-events chronology for this calendar date. The cited date-page entry records this occurrence.",University of Coimbra,1290 CE,https://en.wikipedia.org/wiki/March_1,March 1,"March 1, 1290","Wikipedia, March 1",documented date,politics and governance,Portugal,Gregorian date-page convention,target met,regional,secondary reference; single-source date-page verification,20,verified against cited historical-events date page,20,55
1,CE,1476,March,Selection limited to 1–2009 CE; original historical calendar is not specified by the cited date page.,,EVT-MAR-01-05-1476,conflict,"On March 1, 1476, Forces of the Catholic Monarchs engage the combined Portuguese-Castilian armies of Afonso V and Prince John at the Battle of Toro. This event is included in the documented historical-events chronology for this calendar date.",Forces of the Catholic Monarchs engage the combined Portuguese-Castilian armies of Afonso V and Prince John at the Battle of Toro.,1476 CE,https://en.wikipedia.org/wiki/March_1,March 1,"March 1, 1476","Wikipedia, March 1",documented date,military,,Gregorian date-page convention,target met,regional,secondary reference; single-source date-page verification,20,verified against cited historical-events date page,20,60
1,CE,1562,March,Selection limited to 1–2009 CE; original historical calendar is not specified by the cited date page.,Europe,EVT-MAR-01-02-1562,conflict,"On March 1, 1562, Sixty-three Huguenots are massacred in Wassy, France, marking the start of the French Wars of Religion. This event is included in the documented historical-events chronology for this calendar date.",Sixty-three Huguenots are massacred in Wassy,1562 CE,https://en.wikipedia.org/wiki/March_1,March 1,"March 1, 1562","Wikipedia, March 1",documented date,military,France,Gregorian date-page convention,target met,international,secondary reference; single-source date-page verification,20,verified against cited historical-events date page,20,70
1,CE,1836,March,Selection limited to 1–2009 CE; original historical calendar is not specified by the cited date page.,Americas,EVT-MAR-01-13-1836,political event,"On March 1, 1836, A convention of delegates from 57 Texas communities convenes in Washington-on-the-Brazos, Texas, to deliberate independence from Mexico. This event is included in the documented historical-events chronology for this calendar date.",A convention of delegates from 57 Texas communities convenes in Washington-on-the-Brazos,1836 CE,https://en.wikipedia.org/wiki/March_1,March 1,"March 1, 1836","Wikipedia, March 1",documented date,politics and governance,Mexico,Gregorian date-page convention,target met,regional,secondary reference; single-source date-page verification,20,verified against cited historical-events date page,20,54
