Day,Era,Year,Month,Notes,Region,Event ID,Event type,Description,Event title,Date display,Source 1 URL,Calendar date,City location,Original date,Source 1 name,Date certainty,Event category,Modern country,Calendar system,Coverage status,People involved,Historical entity,Significance scope,Source reliability,Target event count,Verification status,Verified event count,Historical significance score
1,CE,1503,November,,Europe,GHC-NOV-1-01,Religious,Cardinal Giuliano della Rovere is elected Pope and takes the name Julius II. [5],Julius II elected pope,1 November 1503 CE,https://en.wikipedia.org/wiki/November_1,November 1,Rome,,Wikipedia — November date page,Exact,Papal election,Vatican City,Gregorian (modern date listing),Target met,Julius II,Catholic Church,Global,Secondary reference chronology,20,Verified against cited chronology,20,4
1,CE,1512,November,,Europe,GHC-NOV-1-02,Cultural,"The ceiling of the Sistine Chapel, painted by Michelangelo, is exhibited to the public for the first time.",Sistine Chapel ceiling exhibited,1 November 1512 CE,https://en.wikipedia.org/wiki/November_1,November 1,Rome,,Wikipedia — November date page,Exact,Art exhibition,Vatican City,Gregorian (modern date listing),Target met,Michelangelo,Catholic Church,Global,Secondary reference chronology,20,Verified against cited chronology,20,5
1,CE,1520,November,,South America,GHC-NOV-1-03,Exploration,"The Strait of Magellan, the passage immediately south of mainland South America connecting the Pacific and the Atlantic Oceans, is first discovered and navigated by European explorer Ferdinand Magellan during the first recorded circumnavigation voyage.",European navigation of the Strait of Magellan,1 November 1520 CE,https://en.wikipedia.org/wiki/November_1,November 1,,,Wikipedia — November date page,Exact,Maritime exploration,Chile; Argentina,Gregorian (modern date listing),Target met,Ferdinand Magellan,Spanish expedition,Global,Secondary reference chronology,20,Verified against cited chronology,20,5
1,CE,1570,November,,Western Europe,GHC-NOV-1-04,Disaster,The All Saints' Flood devastates the Dutch coast.,All Saints' Flood,1 November 1570 CE,https://en.wikipedia.org/wiki/November_1,November 1,,,Wikipedia — November date page,Exact,Flood,Netherlands,Gregorian (modern date listing),Target met,,,Regional,Secondary reference chronology,20,Verified against cited chronology,20,4
1,CE,1755,November,,Europe,GHC-NOV-1-05,Disaster,"In Portugal, Lisbon is totally devastated by a massive earthquake and tsunami, killing an estimated 40,000 to 60,000 people.",Lisbon earthquake and tsunami,1 November 1755 CE,https://en.wikipedia.org/wiki/November_1,November 1,Lisbon,,Wikipedia — November date page,Exact,Earthquake and tsunami,Portugal,Gregorian (modern date listing),Target met,,Kingdom of Portugal,Regional,Secondary reference chronology,20,Verified against cited chronology,20,5
1,CE,1765,November,,North America,GHC-NOV-1-06,Political,The British Parliament enacts the Stamp Act on the Thirteen Colonies in order to help pay for British military operations in North America.,Stamp Act enacted,1 November 1765 CE,https://en.wikipedia.org/wiki/November_1,November 1,London,,Wikipedia — November date page,Exact,Colonial taxation,United Kingdom; United States,Gregorian (modern date listing),Target met,,Parliament of Great Britain,National,Secondary reference chronology,20,Verified against cited chronology,20,5
1,CE,1814,November,,Europe,GHC-NOV-1-07,Political,Congress of Vienna opens to re-draw the European political map after the defeat of France in the Napoleonic Wars.,Congress of Vienna opens,1 November 1814 CE,https://en.wikipedia.org/wiki/November_1,November 1,Vienna,,Wikipedia — November date page,Exact,Diplomacy,Austria,Gregorian (modern date listing),Target met,,Congress of Vienna,Regional,Secondary reference chronology,20,Verified against cited chronology,20,5
1,CE,1848,November,,North America,GHC-NOV-1-08,Social,"In Boston, Massachusetts, the first medical school for women, Boston Female Medical School (which later merged with the Boston University School of Medicine), opens.",Boston Female Medical School opens,1 November 1848 CE,https://en.wikipedia.org/wiki/November_1,November 1,Boston,,Wikipedia — November date page,Exact,Women's education,United States,Gregorian (modern date listing),Target met,,Boston Female Medical School,National,Secondary reference chronology,20,Verified against cited chronology,20,4
1,CE,1861,November,,North America,GHC-NOV-1-09,Military,"American Civil War: U.S. President Abraham Lincoln appoints George B. McClellan as the commander of the Union Army, replacing General Winfield Scott.",McClellan appointed Union Army commander,1 November 1861 CE,https://en.wikipedia.org/wiki/November_1,November 1,,,Wikipedia — November date page,Exact,Command appointment,United States,Gregorian (modern date listing),Target met,Abraham Lincoln; George B. McClellan; Winfield Scott,Union Army,National,Secondary reference chronology,20,Verified against cited chronology,20,4
1,CE,1870,November,,North America,GHC-NOV-1-10,Scientific,"In the United States, the Weather Bureau (later renamed the National Weather Service) makes its first official meteorological forecast.",First official U.S. weather forecast,1 November 1870 CE,https://en.wikipedia.org/wiki/November_1,November 1,,,Wikipedia — November date page,Exact,Meteorology,United States,Gregorian (modern date listing),Target met,,Weather Bureau,National,Secondary reference chronology,20,Verified against cited chronology,20,4
