Day,Era,Year,Month,Region,Event ID,Event type,Description,Event title,Date display,Source 1 URL,Calendar date,City location,Original date,Source 1 name,Date certainty,Event category,Modern country,Calendar system,Coverage status,People involved,Historical entity,Significance scope,Source reliability,Target event count,Verification status,Verified event count,Historical significance score
1,CE,1918,April,Europe,GHC-APR-0001,military,The Royal Air Force is created by merging the Royal Flying Corps and the Royal Naval Air Service.,Creation of the Royal Air Force,"April 1, 1918 CE",https://en.wikipedia.org/wiki/April_1,1918-04-01,,"April 1, 1918",Wikipedia — April 1,exact,armed forces,United Kingdom,Gregorian,evidence-based partial coverage,,Royal Air Force,regional,secondary source; page cites references,20,verified against dated source entry,6,8
1,CE,1939,April,Europe,GHC-APR-0002,political,Generalísimo Francisco Franco announces the end of the Spanish Civil War after the last Republican forces surrender.,End of the Spanish Civil War,"April 1, 1939 CE",https://en.wikipedia.org/wiki/April_1,1939-04-01,,"April 1, 1939",Wikipedia — April 1,exact,civil war,Spain,Gregorian,evidence-based partial coverage,Francisco Franco,Spanish State,regional,secondary source; page cites references,20,verified against dated source entry,6,8
1,CE,1946,April,North America,GHC-APR-0003,disaster,"An 8.6 magnitude earthquake in the Aleutian Islands generates a destructive tsunami that reaches Hawaii and causes dozens of deaths, mostly in Hilo.",Aleutian Islands Earthquake and Tsunami,"April 1, 1946 CE",https://en.wikipedia.org/wiki/April_1,1946-04-01,Hilo,"April 1, 1946",Wikipedia — April 1,exact,earthquake and tsunami,United States,Gregorian,evidence-based partial coverage,,,regional,secondary source; page cites references,20,verified against dated source entry,6,8
1,CE,1960,April,North America,GHC-APR-0004,science_technology,The TIROS-1 satellite transmits the first television picture from space.,First Television Picture from Space,"April 1, 1960 CE",https://en.wikipedia.org/wiki/April_1,1960-04-01,,"April 1, 1960",Wikipedia — April 1,exact,space technology,United States,Gregorian,evidence-based partial coverage,,TIROS-1,regional,secondary source; page cites references,20,verified against dated source entry,6,8
1,CE,1979,April,Middle East,GHC-APR-0005,political,"Iran becomes an Islamic republic by a 99% vote, officially overthrowing the Shah.",Iran Becomes an Islamic Republic,"April 1, 1979 CE",https://en.wikipedia.org/wiki/April_1,1979-04-01,,"April 1, 1979",Wikipedia — April 1,exact,regime change,Iran,Gregorian,evidence-based partial coverage,Shah,Islamic Republic of Iran,regional,secondary source; page cites references,20,verified against dated source entry,6,8
1,CE,2001,April,Europe,GHC-APR-0006,social,"Same-sex marriage becomes legal in the Netherlands, the first contemporary country to allow it.",Legalization of Same-Sex Marriage in the Netherlands,"April 1, 2001 CE",https://en.wikipedia.org/wiki/April_1,2001-04-01,,"April 1, 2001",Wikipedia — April 1,exact,marriage equality,Netherlands,Gregorian,evidence-based partial coverage,,Kingdom of the Netherlands,regional,secondary source; page cites references,20,verified against dated source entry,6,8
2,CE,1513,April,North America,GHC-APR-0007,exploration,Spanish explorer Juan Ponce de León comes ashore on what is now the U.S. state of Florida.,Ponce de León lands in Florida,"April 2, 1513 CE",https://en.wikipedia.org/wiki/April_2,1513-04-02,Florida,"April 2, 1513",Wikipedia — April 2,exact,European exploration,United States,Gregorian,evidence-based partial coverage,Juan Ponce de León,Spanish Empire,regional,secondary source; page cites references,20,verified against dated source entry,6,8
2,CE,1792,April,North America,GHC-APR-0008,economic,"The Coinage Act is passed by Congress, establishing the United States Mint.",United States Mint established,"April 2, 1792 CE",https://en.wikipedia.org/wiki/April_2,1792-04-02,,"April 2, 1792",Wikipedia — April 2,exact,Monetary institution,United States,Gregorian,evidence-based partial coverage,,United States Mint,regional,secondary source; page cites references,20,verified against dated source entry,6,8
2,CE,1801,April,Europe,GHC-APR-0009,military,"A British Royal Navy squadron defeats a smaller Dano-Norwegian Navy at the Battle of Copenhagen, forcing Denmark out of the Second League of Armed Neutrality.",Battle of Copenhagen,"April 2, 1801 CE",https://en.wikipedia.org/wiki/April_2,1801-04-02,Copenhagen,"April 2, 1801",Wikipedia — April 2,exact,Naval battle,Denmark,Gregorian,evidence-based partial coverage,,Dano-Norwegian Navy,regional,secondary source; page cites references,20,verified against dated source entry,6,8
2,CE,1865,April,North America,GHC-APR-0010,military,"Defeat at the Third Battle of Petersburg forces the Army of Northern Virginia and the Confederate government to abandon Richmond, Virginia.",Confederates abandon Richmond,"April 2, 1865 CE",https://en.wikipedia.org/wiki/April_2,1865-04-02,Richmond,"April 2, 1865",Wikipedia — April 2,exact,American Civil War,United States,Gregorian,evidence-based partial coverage,,Confederate States of America,regional,secondary source; page cites references,20,verified against dated source entry,6,8
