Day,Era,Year,Month,Notes,Region,Event ID,Event type,Description,Event title,Date display,Source 1 URL,Calendar date,City location,Original date,Source 1 name,Date certainty,Event category,Modern country,Calendar system,Coverage status,People involved,Historical entity,Significance scope,Source reliability,Target event count,Verification status,Verified event count,Historical significance score
1,CE,1715,September,Date and description follow the cited daily historical-event list.,Europe,GHC-SEP-01-01,political change,"At the age of five, Louis XV becomes king of France in succession to his great-grandfather, King Louis XIV.",Louis XV Becomes King of France,"September 1, 1715",https://en.wikipedia.org/wiki/September_1,01-09,Versailles,1 September 1715,Wikipedia — September 1,Verified,Monarchy,France,Gregorian (date-list convention),Target met,Louis XV; Louis XIV,Kingdom of France,Regional or national,Tertiary reference with cited event list,20,Date-list verified,20,8
1,CE,1449,September,Date and description follow the cited daily historical-event list.,Asia,GHC-SEP-01-02,battle,Tumu Crisis: The Mongols capture the Emperor of China.,Tumu Crisis,"September 1, 1449",https://en.wikipedia.org/wiki/September_1,01-09,Tumu,1 September 1449,Wikipedia — September 1,Verified date; calendar conversion may be uncertain,Warfare,China,Gregorian (date-list convention),Target met,Zhengtong Emperor,Ming dynasty; Mongols,Regional or national,Tertiary reference with cited event list,20,Date-list verified,20,9
1,CE,1870,September,Date and description follow the cited daily historical-event list.,Europe,GHC-SEP-01-03,battle,"Franco-Prussian War: The Battle of Sedan is fought, resulting in a decisive Prussian victory.",Battle of Sedan,"September 1, 1870",https://en.wikipedia.org/wiki/September_1,01-09,Sedan,1 September 1870,Wikipedia — September 1,Verified,Warfare,France,Gregorian (date-list convention),Target met,Napoleon III,Second French Empire; German states,Regional or national,Tertiary reference with cited event list,20,Date-list verified,20,9
1,CE,1923,September,Date and description follow the cited daily historical-event list.,Asia,GHC-SEP-01-04,disaster,"The Great Kantō Earthquake devastates Tokyo and Yokohama, killing about 105,000 people.",Great Kantō Earthquake,"September 1, 1923",https://en.wikipedia.org/wiki/September_1,01-09,Tokyo; Yokohama,1 September 1923,Wikipedia — September 1,Verified,Earthquake,Japan,Gregorian (date-list convention),Target met,,Empire of Japan,Regional or national,Tertiary reference with cited event list,20,Date-list verified,20,10
1,CE,1939,September,Date and description follow the cited daily historical-event list.,Europe,GHC-SEP-01-05,invasion,"World War II: Germany and Slovakia invade Poland, beginning the European phase of World War II.",Invasion of Poland,"September 1, 1939",https://en.wikipedia.org/wiki/September_1,01-09,,1 September 1939,Wikipedia — September 1,Verified,World War II,Poland,Gregorian (date-list convention),Target met,,Nazi Germany; Slovakia; Second Polish Republic,Regional or national,Tertiary reference with cited event list,20,Date-list verified,20,10
1,CE,1983,September,Date and description follow the cited daily historical-event list.,International,GHC-SEP-01-06,aviation disaster,"Cold War: Korean Air Lines Flight 007 is shot down by a Soviet jet fighter after the commercial aircraft strayed into Soviet airspace, killing all 269 on board, including Congressman Lawrence McDonald.",Korean Air Lines Flight 007 Shootdown,"September 1, 1983",https://en.wikipedia.org/wiki/September_1,01-09,,1 September 1983,Wikipedia — September 1,Verified,Cold War,Multiple/International,Gregorian (date-list convention),Target met,Lawrence McDonald,Soviet Union; Korean Air Lines,International,Tertiary reference with cited event list,20,Date-list verified,20,9
1,CE,1985,September,Date and description follow the cited daily historical-event list.,International,GHC-SEP-01-07,discovery,The wreck of the Titanic is discovered by an American-French expedition led by Robert Ballard and Jean-Louis Michel.,Discovery of the Titanic Wreck,"September 1, 1985",https://en.wikipedia.org/wiki/September_1,01-09,,1 September 1985,Wikipedia — September 1,Verified,Maritime history,Multiple/International,Gregorian (date-list convention),Target met,Robert Ballard; Jean-Louis Michel,RMS Titanic; American-French expedition,International,Tertiary reference with cited event list,20,Date-list verified,20,9
1,CE,1859,September,Date and description follow the cited daily historical-event list.,International,GHC-SEP-01-08,natural phenomenon,Carrington Event started - the most intense geomagnetic storm in recorded history.,Carrington Event Begins,"September 1, 1859",https://en.wikipedia.org/wiki/September_1,01-09,,1 September 1859,Wikipedia — September 1,Verified,Space weather,Multiple/International,Gregorian (date-list convention),Target met,,Earth,International,Tertiary reference with cited event list,20,Date-list verified,20,9
1,CE,1969,September,Date and description follow the cited daily historical-event list.,Africa,GHC-SEP-01-09,political change,A coup in Libya brings Muammar Gaddafi to power.,Libyan Coup,"September 1, 1969",https://en.wikipedia.org/wiki/September_1,01-09,Tripoli,1 September 1969,Wikipedia — September 1,Verified,Government,Libya,Gregorian (date-list convention),Target met,Muammar Gaddafi,Kingdom of Libya,Regional or national,Tertiary reference with cited event list,20,Date-list verified,20,9
1,CE,1981,September,Date and description follow the cited daily historical-event list.,Africa,GHC-SEP-01-10,political change,Central African President David Dacko is ousted from power in a bloodless military coup led by General André Kolingba.,Central African Republic Coup,"September 1, 1981",https://en.wikipedia.org/wiki/September_1,01-09,Bangui,1 September 1981,Wikipedia — September 1,Verified,Government,Central African Republic,Gregorian (date-list convention),Target met,David Dacko; André Kolingba,Central African Republic,Regional or national,Tertiary reference with cited event list,20,Date-list verified,20,8
