Day,Era,Year,Month,Notes,Region,Event ID,Event type,Description,Event title,Date display,Source 1 URL,Calendar date,Original date,Source 1 name,Date certainty,Event category,Modern country,Calendar system,Coverage status,Significance scope,Source reliability,Target event count,Verification status,Verified event count,Historical significance score
1,CE,1960,August,Selection from the date-page events list; consult linked citations for primary-source verification.,Africa,GHCD-AUG-01-1960-01,event,Dahomey (later renamed Benin) declares independence from France.,Dahomey (later renamed Benin) declares independence from France,1 August 1960 CE,https://en.wikipedia.org/wiki/August_1,08-01,1 August 1960,Wikipedia — August 1,reported,political,France,Gregorian date-page convention,meets target,international,secondary reference with citations,20,date-page verified,20,95
1,CE,1927,August,Selection from the date-page events list; consult linked citations for primary-source verification.,Europe,GHCD-AUG-01-1927-02,event,The Nanchang Uprising marks the first significant battle in the Chinese Civil War between the Kuomintang and Chinese Communist Party. This day is commemorated as the anniversary of the founding of the People's Liberation Army.,The Nanchang Uprising marks the first significant battle in the Chinese Civil War between the Kuomintang and Chinese Communist Party,1 August 1927 CE,https://en.wikipedia.org/wiki/August_1,08-01,1 August 1927,Wikipedia — August 1,reported,military,China,Gregorian date-page convention,meets target,international,secondary reference with citations,20,date-page verified,20,95
1,CE,1914,August,Selection from the date-page events list; consult linked citations for primary-source verification.,Americas,GHCD-AUG-01-1914-03,event,World War I: The German Empire declares war on the Russian Empire.,World War I,1 August 1914 CE,https://en.wikipedia.org/wiki/August_1,08-01,1 August 1914,Wikipedia — August 1,reported,military,United States,Gregorian date-page convention,meets target,international,secondary reference with citations,20,date-page verified,20,95
1,CE,1894,August,Selection from the date-page events list; consult linked citations for primary-source verification.,Asia,GHCD-AUG-01-1894-04,event,"The Empire of Japan and Qing China declare war on each other after a week of fighting over Korea, formally inaugurating the First Sino-Japanese War.","The Empire of Japan and Qing China declare war on each other after a week of fighting over Korea, formally inaugurating the First Sino-Japanese War",1 August 1894 CE,https://en.wikipedia.org/wiki/August_1,08-01,1 August 1894,Wikipedia — August 1,reported,military,China,Gregorian date-page convention,meets target,international,secondary reference with citations,20,date-page verified,20,95
1,CE,1834,August,Selection from the date-page events list; consult linked citations for primary-source verification.,Asia,GHCD-AUG-01-1834-05,event,"Slavery is abolished in the British Empire as the Slavery Abolition Act 1833 comes into force, although it remains legal in the possessions of the East India Company until the passage of the Indian Slavery Act, 1843.","Slavery is abolished in the British Empire as the Slavery Abolition Act 1833 comes into force, although it remains legal in the possessions of the East India Company until the pass",1 August 1834 CE,https://en.wikipedia.org/wiki/August_1,08-01,1 August 1834,Wikipedia — August 1,reported,social history,United Kingdom,Gregorian date-page convention,meets target,international,secondary reference with citations,20,date-page verified,20,95
1,CE,1801,August,Selection from the date-page events list; consult linked citations for primary-source verification.,Americas,GHCD-AUG-01-1801-06,event,First Barbary War: The American schooner USS Enterprise captures the Tripolitan polacca Tripoli in a single-ship action off the coast of modern-day Libya.,First Barbary War,1 August 1801 CE,https://en.wikipedia.org/wiki/August_1,08-01,1 August 1801,Wikipedia — August 1,reported,military,United States,Gregorian date-page convention,meets target,international,secondary reference with citations,20,date-page verified,20,95
1,CE,1798,August,Selection from the date-page events list; consult linked citations for primary-source verification.,Europe,GHCD-AUG-01-1798-07,event,French Revolutionary Wars: Battle of the Nile (Battle of Aboukir Bay): Battle begins when a British fleet engages the French Revolutionary Navy fleet in an unusual night action.,French Revolutionary Wars,1 August 1798 CE,https://en.wikipedia.org/wiki/August_1,08-01,1 August 1798,Wikipedia — August 1,reported,military,United Kingdom,Gregorian date-page convention,meets target,international,secondary reference with citations,20,date-page verified,20,95
1,CE,1759,August,Selection from the date-page events list; consult linked citations for primary-source verification.,Europe,GHCD-AUG-01-1759-08,event,"Seven Years' War: The Battle of Minden, an allied Anglo-German army victory over the French. In Britain this was one of a number of events that constituted the Annus Mirabilis of 1759 and is celebrated as Minden Day by certain British Army regiments.",Seven Years' War,1 August 1759 CE,https://en.wikipedia.org/wiki/August_1,08-01,1 August 1759,Wikipedia — August 1,reported,military,United Kingdom,Gregorian date-page convention,meets target,international,secondary reference with citations,20,date-page verified,20,95
1,CE,1998,August,Selection from the date-page events list; consult linked citations for primary-source verification.,Africa,GHCD-AUG-01-1998-09,event,"Puntland, an autonomous state in northeastern Somalia, is officially established following a constitutional conference in Garowe. Issims and tribal chiefs agreed to create a self-declared government until Somalia recovered.","Puntland, an autonomous state in northeastern Somalia, is officially established following a constitutional conference in Garowe",1 August 1998 CE,https://en.wikipedia.org/wiki/August_1,08-01,1 August 1998,Wikipedia — August 1,reported,political,,Gregorian date-page convention,meets target,international,secondary reference with citations,20,date-page verified,20,94
1,CE,1966,August,Selection from the date-page events list; consult linked citations for primary-source verification.,Asia,GHCD-AUG-01-1966-10,event,Purges of intellectuals and imperialists becomes official China policy at the beginning of the Cultural Revolution.,Purges of intellectuals and imperialists becomes official China policy at the beginning of the Cultural Revolution,1 August 1966 CE,https://en.wikipedia.org/wiki/August_1,08-01,1 August 1966,Wikipedia — August 1,reported,social history,China,Gregorian date-page convention,meets target,regional,secondary reference with citations,20,date-page verified,20,83
