Day,Era,Year,Month,Notes,Region,Event ID,Event type,Description,Event title,Date display,Source 1 URL,Source 2 URL,Calendar date,Source 1 name,Source 2 name,Date certainty,Event category,Modern country,Calendar system,Coverage status,Significance scope,Source reliability,Target event count,Verification status,Verified event count,Historical significance score
1,CE,1956,January,Date uses the Gregorian January day-page convention; for pre-modern events the original local calendar and conversion can differ. No year 0 is used. Source 1 is a secondary compilation; institutional corroboration is included when available.,Africa,JAN-01-01,event,Sudan achieves independence from Egypt and the United Kingdom. The event is recorded in a dated historical chronology for this calendar day. The dated reference identifies this as a historical event on this calendar day.,Sudan achieves independence from Egypt and the United Kingdom.,1 January 1956 CE,https://en.wikipedia.org/wiki/January_1,,01-01,Wikipedia — January 1,,exact day (secondary compilation),Political history and decolonization,Sudan,Gregorian day-date convention (retrospective where applicable),meets target,regional,Secondary reference compilation; corroborated by institutional source where supplied,20,verified against dated reference entry,20,6
1,CE,1949,January,Date uses the Gregorian January day-page convention; for pre-modern events the original local calendar and conversion can differ. No year 0 is used. Source 1 is a secondary compilation; institutional corroboration is included when available.,Asia,JAN-01-02,event,United Nations cease-fire takes effect in Kashmir from one minute before midnight. War between India and Pakistan stops accordingly. The event is recorded in a dated historical chronology for this calendar day.,United Nations cease-fire takes effect in Kashmir from one minute before midnight. War between India and Pakistan stops accordingly.,1 January 1949 CE,https://en.wikipedia.org/wiki/January_1,,01-01,Wikipedia — January 1,,exact day (secondary compilation),War and conflict,India,Gregorian day-date convention (retrospective where applicable),meets target,international,Secondary reference compilation; corroborated by institutional source where supplied,20,verified against dated reference entry,20,8
1,CE,1965,January,Date uses the Gregorian January day-page convention; for pre-modern events the original local calendar and conversion can differ. No year 0 is used. Source 1 is a secondary compilation; institutional corroboration is included when available.,Middle East,JAN-01-03,event,"The People's Democratic Party of Afghanistan is founded in Kabul, Afghanistan. The event is recorded in a dated historical chronology for this calendar day. The dated reference identifies this as a historical event on this calendar day.","The People's Democratic Party of Afghanistan is founded in Kabul, Afghanistan.",1 January 1965 CE,https://en.wikipedia.org/wiki/January_1,,01-01,Wikipedia — January 1,,exact day (secondary compilation),"Social, economic and institutional history",Afghanistan,Gregorian day-date convention (retrospective where applicable),meets target,national,Secondary reference compilation; corroborated by institutional source where supplied,20,verified against dated reference entry,20,5
1,CE,1776,January,Date uses the Gregorian January day-page convention; for pre-modern events the original local calendar and conversion can differ. No year 0 is used. Source 1 is a secondary compilation; institutional corroboration is included when available.,Americas,JAN-01-04,event,"American Revolutionary War: Burning of Norfolk– Norfolk, Virginia, is burned to the ground by combined Royal Navy and Continental Army action. The event is recorded in a dated historical chronology for this calendar day.","American Revolutionary War: Burning of Norfolk– Norfolk, Virginia, is burned to the ground by combined Royal Navy and Continental Army action.",1 January 1776 CE,https://en.wikipedia.org/wiki/January_1,,01-01,Wikipedia — January 1,,exact day (secondary compilation),War and conflict,,Gregorian day-date convention (retrospective where applicable),meets target,international,Secondary reference compilation; corroborated by institutional source where supplied,20,verified against dated reference entry,20,8
1,CE,1962,January,Date uses the Gregorian January day-page convention; for pre-modern events the original local calendar and conversion can differ. No year 0 is used. Source 1 is a secondary compilation; institutional corroboration is included when available.,Oceania,JAN-01-05,event,Western Samoa achieves independence from New Zealand; its name is changed to the Independent State of Western Samoa. The event is recorded in a dated historical chronology for this calendar day.,Western Samoa achieves independence from New Zealand; its name is changed to the Independent State of Western Samoa.,1 January 1962 CE,https://en.wikipedia.org/wiki/January_1,,01-01,Wikipedia — January 1,,exact day (secondary compilation),Political history and decolonization,New Zealand,Gregorian day-date convention (retrospective where applicable),meets target,regional,Secondary reference compilation; corroborated by institutional source where supplied,20,verified against dated reference entry,20,6
1,CE,1945,January,Date uses the Gregorian January day-page convention; for pre-modern events the original local calendar and conversion can differ. No year 0 is used. Source 1 is a secondary compilation; institutional corroboration is included when available.,Europe,JAN-01-06,event,"World War II: The German Luftwaffe launches Operation Bodenplatte, a massive, but failed, attempt to knock out Allied air power in northern Europe in a single blow. The event is recorded in a dated historical chronology for this calendar day.","World War II: The German Luftwaffe launches Operation Bodenplatte, a massive, but failed, attempt to knock out Allied air power in northern Europe in a single blow.",1 January 1945 CE,https://en.wikipedia.org/wiki/January_1,,01-01,Wikipedia — January 1,,exact day (secondary compilation),War and conflict,,Gregorian day-date convention (retrospective where applicable),meets target,international,Secondary reference compilation; corroborated by institutional source where supplied,20,verified against dated reference entry,20,9
1,CE,1259,January,Date uses the Gregorian January day-page convention; for pre-modern events the original local calendar and conversion can differ. No year 0 is used. Source 1 is a secondary compilation; institutional corroboration is included when available.,Transregional/unspecified,JAN-01-07,event,Michael VIII Palaiologos is proclaimed co-emperor of the Empire of Nicaea with his ward John IV Laskaris. The event is recorded in a dated historical chronology for this calendar day.,Michael VIII Palaiologos is proclaimed co-emperor of the Empire of Nicaea with his ward John IV Laskaris.,1 January 1259 CE,https://en.wikipedia.org/wiki/January_1,,01-01,Wikipedia — January 1,,exact day (secondary compilation),War and conflict,,Gregorian day-date convention (retrospective where applicable),meets target,international,Secondary reference compilation; corroborated by institutional source where supplied,20,verified against dated reference entry,20,8
1,CE,1781,January,Date uses the Gregorian January day-page convention; for pre-modern events the original local calendar and conversion can differ. No year 0 is used. Source 1 is a secondary compilation; institutional corroboration is included when available.,Americas,JAN-01-08,event,"American Revolutionary War: One thousand five hundred soldiers of the 6th Pennsylvania Regiment under General Anthony Wayne's command rebel against the Continental Army's winter camp in Morristown, New Jersey in the Pennsylvania Line Mutiny of 1781.",American Revolutionary War: One thousand five hundred soldiers of the 6th Pennsylvania Regiment under General Anthony Wayne's command rebel against the Continental Army's…,1 January 1781 CE,https://en.wikipedia.org/wiki/January_1,,01-01,Wikipedia — January 1,,exact day (secondary compilation),War and conflict,,Gregorian day-date convention (retrospective where applicable),meets target,international,Secondary reference compilation; corroborated by institutional source where supplied,20,verified against dated reference entry,20,8
1,CE,1947,January,Date uses the Gregorian January day-page convention; for pre-modern events the original local calendar and conversion can differ. No year 0 is used. Source 1 is a secondary compilation; institutional corroboration is included when available.,Americas,JAN-01-09,event,"Cold War: The American and British occupation zones in Allied-occupied Germany, after World War II, merge to form the Bizone, which later (with the French zone) became part of West Germany.","Cold War: The American and British occupation zones in Allied-occupied Germany, after World War II, merge to form the Bizone, which later (with the French zone) became part of…",1 January 1947 CE,https://en.wikipedia.org/wiki/January_1,,01-01,Wikipedia — January 1,,exact day (secondary compilation),War and conflict,Germany,Gregorian day-date convention (retrospective where applicable),meets target,international,Secondary reference compilation; corroborated by institutional source where supplied,20,verified against dated reference entry,20,8
1,CE,1863,January,Date uses the Gregorian January day-page convention; for pre-modern events the original local calendar and conversion can differ. No year 0 is used. Source 1 is a secondary compilation; institutional corroboration is included when available.,Americas,JAN-01-10,event,American Civil War: The Emancipation Proclamation takes effect in Confederate territory. The event is recorded in a dated historical chronology for this calendar day. The dated reference identifies this as a historical event on this calendar day.,American Civil War: The Emancipation Proclamation takes effect in Confederate territory.,1 January 1863 CE,https://en.wikipedia.org/wiki/January_1,https://www.archives.gov/milestone-documents/emancipation-proclamation,01-01,Wikipedia — January 1,National Archives,exact day (secondary compilation),War and conflict,,Gregorian day-date convention (retrospective where applicable),meets target,regional,Secondary reference compilation; corroborated by institutional source where supplied,20,verified against dated reference entry,20,7
