Day,Era,Year,Month,Notes,Region,Event ID,Event type,Description,Event title,Date display,Source 1 URL,Calendar date,Original date,Source 1 name,Date certainty,Event category,Calendar system,Coverage status,Significance scope,Source reliability,Target event count,Verification status,Verified event count,Historical significance score
1,CE,366,October,Date follows the Gregorian day chronology used by the source; for early events this may be a conventional/proleptic date.,,GHC-OCT-01-01,Religious event,Pope Damasus I is consecrated.,Pope Damasus I is consecrated.,"October 1, 366 CE",https://en.wikipedia.org/wiki/October_1,0366-10-01,"October 1, 366 CE",October 1 — Wikipedia,Exact day in source chronology,Religion and philosophy,Gregorian (source chronology),Target met,National or regional,Secondary reference chronology,20,Verified against source chronology,20,70
1,CE,959,October,Date follows the Gregorian day chronology used by the source; for early events this may be a conventional/proleptic date.,Europe,GHC-OCT-01-02,Political event,"Edgar the Peaceful becomes king of all England, in succession to Eadwig.","Edgar the Peaceful becomes king of all England, in succession to Eadwig.","October 1, 959 CE",https://en.wikipedia.org/wiki/October_1,0959-10-01,"October 1, 959 CE",October 1 — Wikipedia,Exact day in source chronology,Political and independence history,Gregorian (source chronology),Target met,National or regional,Secondary reference chronology,20,Verified against source chronology,20,70
1,CE,965,October,Date follows the Gregorian day chronology used by the source; for early events this may be a conventional/proleptic date.,,GHC-OCT-01-03,Religious event,Pope John XIII is consecrated.,Pope John XIII is consecrated.,"October 1, 965 CE",https://en.wikipedia.org/wiki/October_1,0965-10-01,"October 1, 965 CE",October 1 — Wikipedia,Exact day in source chronology,Religion and philosophy,Gregorian (source chronology),Target met,National or regional,Secondary reference chronology,20,Verified against source chronology,20,70
1,CE,1553,October,Date follows the Gregorian day chronology used by the source; for early events this may be a conventional/proleptic date.,Europe,GHC-OCT-01-04,Historical event,The coronation of Queen Mary I of England is held at Westminster Abbey.,The coronation of Queen Mary I of England is held at Westminster Abbey.,"October 1, 1553 CE",https://en.wikipedia.org/wiki/October_1,1553-10-01,"October 1, 1553 CE",October 1 — Wikipedia,Exact day in source chronology,General historical chronology,Gregorian (source chronology),Target met,National or regional,Secondary reference chronology,20,Verified against source chronology,20,70
1,CE,1588,October,Date follows the Gregorian day chronology used by the source; for early events this may be a conventional/proleptic date.,Middle East,GHC-OCT-01-05,Historical event,The coronation of Shah Abbas I of Persia occurs.,The coronation of Shah Abbas I of Persia occurs.,"October 1, 1588 CE",https://en.wikipedia.org/wiki/October_1,1588-10-01,"October 1, 1588 CE",October 1 — Wikipedia,Exact day in source chronology,General historical chronology,Gregorian (source chronology),Target met,International,Secondary reference chronology,20,Verified against source chronology,20,70
1,CE,208,October,Date follows the Gregorian day chronology used by the source; for early events this may be a conventional/proleptic date.,,GHC-OCT-01-06,Political event,"Alexander Severus, Roman emperor (died 235)","Alexander Severus, Roman emperor (died 235)","October 1, 208 CE",https://en.wikipedia.org/wiki/October_1,0208-10-01,"October 1, 208 CE",October 1 — Wikipedia,Exact day in source chronology,Political and independence history,Gregorian (source chronology),Target met,National or regional,Secondary reference chronology,20,Verified against source chronology,20,70
1,CE,1730,October,Date follows the Gregorian day chronology used by the source; for early events this may be a conventional/proleptic date.,Middle East,GHC-OCT-01-07,Historical event,Ahmed III is forced to abdicate as the Ottoman sultan.,Ahmed III is forced to abdicate as the Ottoman sultan.,"October 1, 1730 CE",https://en.wikipedia.org/wiki/October_1,1730-10-01,"October 1, 1730 CE",October 1 — Wikipedia,Exact day in source chronology,General historical chronology,Gregorian (source chronology),Target met,International,Secondary reference chronology,20,Verified against source chronology,20,70
1,CE,1779,October,Date follows the Gregorian day chronology used by the source; for early events this may be a conventional/proleptic date.,Europe,GHC-OCT-01-08,Political event,"The city of Tampere, Finland (belonging to Sweden at this time) is founded by King Gustav III of Sweden.","The city of Tampere, Finland (belonging to Sweden at this time) is founded by King Gustav III of Sweden.","October 1, 1779 CE",https://en.wikipedia.org/wiki/October_1,1779-10-01,"October 1, 1779 CE",October 1 — Wikipedia,Exact day in source chronology,Political and independence history,Gregorian (source chronology),Target met,National or regional,Secondary reference chronology,20,Verified against source chronology,20,70
1,CE,1787,October,Date follows the Gregorian day chronology used by the source; for early events this may be a conventional/proleptic date.,Europe,GHC-OCT-01-09,Historical event,Russians under Alexander Suvorov defeat the Turks at Kinburn.,Russians under Alexander Suvorov defeat the Turks at Kinburn.,"October 1, 1787 CE",https://en.wikipedia.org/wiki/October_1,1787-10-01,"October 1, 1787 CE",October 1 — Wikipedia,Exact day in source chronology,General historical chronology,Gregorian (source chronology),Target met,National or regional,Secondary reference chronology,20,Verified against source chronology,20,70
1,CE,1791,October,Date follows the Gregorian day chronology used by the source; for early events this may be a conventional/proleptic date.,,GHC-OCT-01-10,Historical event,First session of the French Legislative Assembly.,First session of the French Legislative Assembly.,"October 1, 1791 CE",https://en.wikipedia.org/wiki/October_1,1791-10-01,"October 1, 1791 CE",October 1 — Wikipedia,Exact day in source chronology,General historical chronology,Gregorian (source chronology),Target met,National or regional,Secondary reference chronology,20,Verified against source chronology,20,70
