Day,Era,Year,Month,Notes,Region,Event ID,Event type,Description,Event title,Date display,Source 1 URL,Calendar date,Original date,Source 1 name,Date certainty,Event category,Modern country,Calendar system,Coverage status,Significance scope,Source reliability,Target event count,Verification status,Verified event count,Historical significance score
1,CE,193,June,,,GHCD-06-01-0193-01,conflict,"The Roman Senate passes a motion proclaiming Septimius Severus emperor, awards divine honours to Pertinax, and sentences current emperor Didius Julianus to death.","The Roman Senate passes a motion proclaiming Septimius Severus emperor, awards divine honours to Pertinax, and sentences current emperor Didius Julianus to death.","June 1, 193 CE",https://en.wikipedia.org/wiki/June_1,0193-06-01,"193– The Roman Senate passes a motion proclaiming Septimius Severus emperor, awards divine honours to Pertinax, and sentences current emperor Didius Julianus to death.",Wikipedia,exact,military and conflict,,Gregorian,target met,transregional,secondary reference,20,single-source verified,20,95
1,CE,1412,June,,Europe,GHCD-06-01-1412-02,politics,The Treaty of Lubowla between the kingdoms of Hungary and Poland is confirmed with one of the largest and magnificent royal meetings and feasts ever held in Buda. King Sigismund of Hungary host king Władysław II Jagiełło while several thousand nobles attend.,The Treaty of Lubowla between the kingdoms of Hungary and Poland is confirmed with one of the largest and magnificent royal meetings and feasts ever held in Buda,"June 1, 1412 CE",https://en.wikipedia.org/wiki/June_1,1412-06-01,1412– The Treaty of Lubowla between the kingdoms of Hungary and Poland is confirmed with one of the largest and magnificent royal meetings and feasts ever held in Buda. King Sigismund of Hungary host king Władysław II Jagiełło while several thousand nobles attend.,Wikipedia,exact,politics and law,Poland,Gregorian,target met,regional,secondary reference,20,single-source verified,20,95
1,CE,1648,June,,,GHCD-06-01-1648-03,conflict,The Roundheads defeat the Cavaliers at the Battle of Maidstone in the Second English Civil War.,The Roundheads defeat the Cavaliers at the Battle of Maidstone in the Second English Civil War.,"June 1, 1648 CE",https://en.wikipedia.org/wiki/June_1,1648-06-01,1648– The Roundheads defeat the Cavaliers at the Battle of Maidstone in the Second English Civil War.,Wikipedia,exact,military and conflict,,Gregorian,target met,transregional,secondary reference,20,single-source verified,20,95
1,CE,1670,June,,Europe,GHCD-06-01-1670-04,conflict,"In Dover, England, Charles II of England and Louis XIV of France sign the Secret Treaty of Dover, which will force England into the Third Anglo-Dutch War.","In Dover, England, Charles II of England and Louis XIV of France sign the Secret Treaty of Dover, which will force England into the Third Anglo-Dutch War.","June 1, 1670 CE",https://en.wikipedia.org/wiki/June_1,1670-06-01,"1670– In Dover, England, Charles II of England and Louis XIV of France sign the Secret Treaty of Dover, which will force England into the Third Anglo-Dutch War.",Wikipedia,exact,military and conflict,United Kingdom,Gregorian,target met,regional,secondary reference,20,single-source verified,20,95
1,CE,1676,June,,,GHCD-06-01-1676-05,conflict,"Battle of Öland: allied Danish-Dutch forces defeat the Swedish navy in the Baltic Sea, during the Scanian War (1675–79).","Battle of Öland: allied Danish-Dutch forces defeat the Swedish navy in the Baltic Sea, during the Scanian War (1675–79).","June 1, 1676 CE",https://en.wikipedia.org/wiki/June_1,1676-06-01,"1676– Battle of Öland: allied Danish-Dutch forces defeat the Swedish navy in the Baltic Sea, during the Scanian War (1675–79).",Wikipedia,exact,military and conflict,,Gregorian,target met,transregional,secondary reference,20,single-source verified,20,95
1,CE,1779,June,,,GHCD-06-01-1779-06,conflict,"The court-martial for malfeasance of Benedict Arnold, a general in the Continental Army during the American Revolutionary War, begins.","The court-martial for malfeasance of Benedict Arnold, a general in the Continental Army during the American Revolutionary War, begins.","June 1, 1779 CE",https://en.wikipedia.org/wiki/June_1,1779-06-01,"1779– The court-martial for malfeasance of Benedict Arnold, a general in the Continental Army during the American Revolutionary War, begins.",Wikipedia,exact,military and conflict,,Gregorian,target met,transregional,secondary reference,20,single-source verified,20,95
1,CE,1794,June,,Europe,GHCD-06-01-1794-07,conflict,"The battle of the Glorious First of June is fought, the first naval engagement between Britain and France during the French Revolutionary Wars.","The battle of the Glorious First of June is fought, the first naval engagement between Britain and France during the French Revolutionary Wars.","June 1, 1794 CE",https://en.wikipedia.org/wiki/June_1,1794-06-01,"1794– The battle of the Glorious First of June is fought, the first naval engagement between Britain and France during the French Revolutionary Wars.",Wikipedia,exact,military and conflict,France,Gregorian,target met,regional,secondary reference,20,single-source verified,20,95
1,CE,1812,June,,Europe,GHCD-06-01-1812-08,conflict,War of 1812: U.S. President James Madison asks the Congress to declare war on the United Kingdom.,War of 1812: U.S,"June 1, 1812 CE",https://en.wikipedia.org/wiki/June_1,1812-06-01,1812– War of 1812: U.S. President James Madison asks the Congress to declare war on the United Kingdom.,Wikipedia,exact,military and conflict,United Kingdom,Gregorian,target met,regional,secondary reference,20,single-source verified,20,95
1,CE,1815,June,,,GHCD-06-01-1815-09,politics,Napoleon promulgates a revised Constitution after it passes a plebiscite.,Napoleon promulgates a revised Constitution after it passes a plebiscite.,"June 1, 1815 CE",https://en.wikipedia.org/wiki/June_1,1815-06-01,1815– Napoleon promulgates a revised Constitution after it passes a plebiscite.,Wikipedia,exact,politics and law,,Gregorian,target met,transregional,secondary reference,20,single-source verified,20,82
1,CE,1861,June,,,GHCD-06-01-1861-10,conflict,American Civil War: The Battle of Fairfax Court House is fought.,American Civil War: The Battle of Fairfax Court House is fought.,"June 1, 1861 CE",https://en.wikipedia.org/wiki/June_1,1861-06-01,1861– American Civil War: The Battle of Fairfax Court House is fought.,Wikipedia,exact,military and conflict,,Gregorian,target met,transregional,secondary reference,20,single-source verified,20,95
1,CE,1862,June,,,GHCD-06-01-1862-11,conflict,"American Civil War: Peninsula Campaign: The Battle of Seven Pines (or the Battle of Fair Oaks) ends inconclusively, with both sides claiming victory.","American Civil War: Peninsula Campaign: The Battle of Seven Pines (or the Battle of Fair Oaks) ends inconclusively, with both sides claiming victory.","June 1, 1862 CE",https://en.wikipedia.org/wiki/June_1,1862-06-01,"1862– American Civil War: Peninsula Campaign: The Battle of Seven Pines (or the Battle of Fair Oaks) ends inconclusively, with both sides claiming victory.",Wikipedia,exact,military and conflict,,Gregorian,target met,transregional,secondary reference,20,single-source verified,20,95
1,CE,1868,June,,North America,GHCD-06-01-1868-12,politics,"The Treaty of Bosque Redondo is signed, allowing the Navajo to return to their lands in Arizona and New Mexico.","The Treaty of Bosque Redondo is signed, allowing the Navajo to return to their lands in Arizona and New Mexico.","June 1, 1868 CE",https://en.wikipedia.org/wiki/June_1,1868-06-01,"1868– The Treaty of Bosque Redondo is signed, allowing the Navajo to return to their lands in Arizona and New Mexico.",Wikipedia,exact,politics and law,Mexico,Gregorian,target met,regional,secondary reference,20,single-source verified,20,95
1,CE,1913,June,,,GHCD-06-01-1913-13,conflict,"The Greek–Serbian Treaty of Alliance is signed, paving the way for the Second Balkan War.","The Greek–Serbian Treaty of Alliance is signed, paving the way for the Second Balkan War.","June 1, 1913 CE",https://en.wikipedia.org/wiki/June_1,1913-06-01,"1913– The Greek–Serbian Treaty of Alliance is signed, paving the way for the Second Balkan War.",Wikipedia,exact,military and conflict,,Gregorian,target met,transregional,secondary reference,20,single-source verified,20,95
1,CE,1916,June,,North America,GHCD-06-01-1916-14,politics,"The United States Senate confirms the appointment of Louis Brandeis to the United States Supreme Court, making him the first Jew to be an Associate Justice.","The United States Senate confirms the appointment of Louis Brandeis to the United States Supreme Court, making him the first Jew to be an Associate Justice.","June 1, 1916 CE",https://en.wikipedia.org/wiki/June_1,1916-06-01,"1916– The United States Senate confirms the appointment of Louis Brandeis to the United States Supreme Court, making him the first Jew to be an Associate Justice.",Wikipedia,exact,politics and law,United States,Gregorian,target met,regional,secondary reference,20,single-source verified,20,95
