Day,Era,Year,Month,Notes,Region,Event ID,Event type,Description,Event title,Date display,Source 1 URL,Calendar date,City location,Original date,Source 1 name,Date certainty,Event category,Modern country,Calendar system,Coverage status,People involved,Historical entity,Significance scope,Source reliability,Target event count,Verification status,Verified event count,Historical significance score
1,CE,418,May,Historical date rendered in the date-page Gregorian convention; pre-Gregorian local-calendar conversion may differ.,Africa,GHCD-APR-2001,legal,A synod in Carthage condemns Pelagianism.,Synod condemns Pelagianism,"May 1, 418 CE",https://en.wikipedia.org/wiki/May_1,0418-05-01,Carthage,"May 1, 418",Wikipedia — May 1,exact,religious decision,Tunisia,Gregorian (date-page convention),complete,,Christian Church,International,"Secondary, community-edited reference",20,verified against date-page source,20,6
1,CE,1169,May,Historical date rendered in the date-page Gregorian convention; pre-Gregorian local-calendar conversion may differ.,Europe,GHCD-APR-2002,military,"Norman mercenaries land at Bannow Bay in Leinster, marking the beginning of the Norman invasion of Ireland.",Norman mercenaries land in Ireland,"May 1, 1169 CE",https://en.wikipedia.org/wiki/May_1,1169-05-01,Bannow Bay,"May 1, 1169",Wikipedia — May 1,exact,invasion,Ireland,Gregorian (date-page convention),complete,,Norman forces,National,"Secondary, community-edited reference",20,verified against date-page source,20,8
1,CE,1328,May,Historical date rendered in the date-page Gregorian convention; pre-Gregorian local-calendar conversion may differ.,Europe,GHCD-APR-2003,political,The Treaty of Edinburgh–Northampton ends the Wars of Scottish Independence and England recognizes Scotland as an independent state.,Treaty recognizes Scottish independence,"May 1, 1328 CE",https://en.wikipedia.org/wiki/May_1,1328-05-01,Edinburgh; Northampton,"May 1, 1328",Wikipedia — May 1,exact,peace treaty,United Kingdom,Gregorian (date-page convention),complete,,Kingdom of Scotland; Kingdom of England,National,"Secondary, community-edited reference",20,verified against date-page source,20,9
1,CE,1455,May,Historical date rendered in the date-page Gregorian convention; pre-Gregorian local-calendar conversion may differ.,Europe,GHCD-APR-2004,military,Scottish royal forces loyal to King James II defeat a rebel army of the Black Douglases at Arkinholm.,Battle of Arkinholm,"May 1, 1455 CE",https://en.wikipedia.org/wiki/May_1,1455-05-01,Arkinholm,"May 1, 1455",Wikipedia — May 1,exact,battle,United Kingdom,Gregorian (date-page convention),complete,James II,Scottish royal forces; Black Douglases,National,"Secondary, community-edited reference",20,verified against date-page source,20,6
1,CE,1492,May,Historical date rendered in the date-page Gregorian convention; pre-Gregorian local-calendar conversion may differ.,Europe,GHCD-APR-2005,legal,"The Edict of Expulsion is officially proclaimed in Castile, requiring Jewish residents to leave within three months.",Edict of Expulsion proclaimed,"May 1, 1492 CE",https://en.wikipedia.org/wiki/May_1,1492-05-01,Castile,"May 1, 1492",Wikipedia — May 1,exact,expulsion decree,Spain,Gregorian (date-page convention),complete,,Crown of Castile,National,"Secondary, community-edited reference",20,verified against date-page source,20,9
1,CE,1707,May,,Europe,GHCD-APR-2006,political,The Act of Union joining England and Scotland to form the Kingdom of Great Britain takes effect.,Act of Union takes effect,"May 1, 1707 CE",https://en.wikipedia.org/wiki/May_1,1707-05-01,,"May 1, 1707",Wikipedia — May 1,exact,political union,United Kingdom,Gregorian (date-page convention),complete,,Kingdom of Great Britain,National,"Secondary, community-edited reference",20,verified against date-page source,20,10
1,CE,1753,May,,Europe,GHCD-APR-2007,scientific,"Linnaeus publishes Species Plantarum, establishing the formal start date of plant taxonomy adopted by the International Code of Botanical Nomenclature.",Species Plantarum is published,"May 1, 1753 CE",https://en.wikipedia.org/wiki/May_1,1753-05-01,,"May 1, 1753",Wikipedia — May 1,exact,botanical taxonomy,Sweden,Gregorian (date-page convention),complete,Carl Linnaeus,,International,"Secondary, community-edited reference",20,verified against date-page source,20,8
1,CE,1807,May,,Global,GHCD-APR-2008,legal,"The Slave Trade Act 1807 takes effect, abolishing the slave trade within the British Empire.",Slave Trade Act takes effect,"May 1, 1807 CE",https://en.wikipedia.org/wiki/May_1,1807-05-01,,"May 1, 1807",Wikipedia — May 1,exact,abolition law,United Kingdom,Gregorian (date-page convention),complete,,British Empire,International,"Secondary, community-edited reference",20,verified against date-page source,20,10
1,CE,1851,May,,Europe,GHCD-APR-2009,cultural,Queen Victoria opens the Great Exhibition at the Crystal Palace in London.,Great Exhibition opens,"May 1, 1851 CE",https://en.wikipedia.org/wiki/May_1,1851-05-01,London,"May 1, 1851",Wikipedia — May 1,exact,international exhibition,United Kingdom,Gregorian (date-page convention),complete,Queen Victoria,British Empire,International,"Secondary, community-edited reference",20,verified against date-page source,20,8
1,CE,1863,May,,North America,GHCD-APR-2010,military,The Battle of Chancellorsville begins between Robert E. Lee's Confederate Army of Northern Virginia and the Union Army of the Potomac under Joseph Hooker.,Battle of Chancellorsville begins,"May 1, 1863 CE",https://en.wikipedia.org/wiki/May_1,1863-05-01,Chancellorsville,"May 1, 1863",Wikipedia — May 1,exact,battle,United States,Gregorian (date-page convention),complete,Robert E. Lee; Joseph Hooker,Confederate States of America; Union,National,"Secondary, community-edited reference",20,verified against date-page source,20,8
1,CE,1863,May,,North America,GHCD-APR-2011,military,Union forces under Ulysses S. Grant win the Battle of Port Gibson and establish a firm presence on the east side of the Mississippi River.,Battle of Port Gibson,"May 1, 1863 CE",https://en.wikipedia.org/wiki/May_1,1863-05-01,Port Gibson,"May 1, 1863",Wikipedia — May 1,exact,battle,United States,Gregorian (date-page convention),complete,Ulysses S. Grant,Union forces,National,"Secondary, community-edited reference",20,verified against date-page source,20,8
