Day,Era,Year,Month,Notes,Region,Event ID,Event type,Description,Event title,Date display,Source 1 URL,Calendar date,City location,Original date,Source 1 name,Date certainty,Event category,Modern country,Calendar system,Coverage status,People involved,Historical entity,Significance scope,Source reliability,Target event count,Verification status,Verified event count,Historical significance score
1,CE,69,July,,Africa,EVT-JUL-000001,political,Tiberius Julius Alexander orders the Roman legions in Alexandria to swear allegiance to Vespasian as Emperor.,Legions swear allegiance to Vespasian,"July 1, 69 CE",https://en.wikipedia.org/wiki/July_1,0069-07-01,Alexandria,"July 1, 69",Wikipedia — July 1,exact,Imperial succession,Egypt,Gregorian,verified,Tiberius Julius Alexander; Vespasian,Roman Empire,international,secondary reference compilation,20,source-verified,20,8
1,CE,552,July,,Europe,EVT-JUL-000002,war,"Byzantine forces under Narses defeat the Ostrogoths in Italy, and Ostrogoth king Totila is mortally wounded.",Battle of Taginae,"July 1, 552 CE",https://en.wikipedia.org/wiki/July_1,0552-07-01,,"July 1, 552",Wikipedia — July 1,exact,Battle,Italy,Gregorian,verified,Narses; Totila,Byzantine Empire; Ostrogothic Kingdom,international,secondary reference compilation,20,source-verified,20,8
1,CE,1097,July,,Middle East,EVT-JUL-000003,war,Crusaders led by Bohemond of Taranto defeat a Seljuk army led by Sultan Kilij Arslan I.,Battle of Dorylaeum,"July 1, 1097 CE",https://en.wikipedia.org/wiki/July_1,1097-07-01,Dorylaeum,"July 1, 1097",Wikipedia — July 1,exact,Battle,Turkey,Gregorian,verified,Bohemond of Taranto; Kilij Arslan I,Crusader states; Seljuk Empire,international,secondary reference compilation,20,source-verified,20,8
1,CE,1431,July,,Europe,EVT-JUL-000004,war,"The Battle of La Higueruela takes place in Granada, leading to a modest advance by the Kingdom of Castile during the Reconquista.",Battle of La Higueruela,"July 1, 1431 CE",https://en.wikipedia.org/wiki/July_1,1431-07-01,Granada,"July 1, 1431",Wikipedia — July 1,exact,Battle,Spain,Gregorian,verified,,Kingdom of Castile,international,secondary reference compilation,20,source-verified,20,8
1,CE,1520,July,,Americas,EVT-JUL-000005,war,Spanish conquistadors led by Hernán Cortés fight their way out of Tenochtitlan after nightfall.,Spanish forces fight their way out of Tenochtitlan,"July 1, 1520 CE",https://en.wikipedia.org/wiki/July_1,1520-07-01,Tenochtitlan,"July 1, 1520",Wikipedia — July 1,exact,Conquest,Mexico,Gregorian,verified,Hernán Cortés,,international,secondary reference compilation,20,source-verified,20,8
1,CE,1523,July,,Europe,EVT-JUL-000006,religion,"Jan van Essen and Hendrik Vos become the first Lutheran martyrs, burned at the stake by Roman Catholic authorities in Brussels.",First Lutheran martyrs executed,"July 1, 1523 CE",https://en.wikipedia.org/wiki/July_1,1523-07-01,Brussels,"July 1, 1523",Wikipedia — July 1,exact,Religious persecution,Belgium,Gregorian,verified,Jan van Essen; Hendrik Vos,Roman Catholic authorities,international,secondary reference compilation,20,source-verified,20,6
1,CE,1543,July,,Europe,EVT-JUL-000007,political,Scotland concludes the Treaty of Greenwich with England and agrees to a marriage between Queen Mary and Prince Edward.,Treaty of Greenwich,"July 1, 1543 CE",https://en.wikipedia.org/wiki/July_1,1543-07-01,,"July 1, 1543",Wikipedia — July 1,exact,Treaty,United Kingdom,Gregorian,verified,Mary; Edward; Henry VIII,Kingdom of Scotland; Kingdom of England,international,secondary reference compilation,20,source-verified,20,8
1,CE,1569,July,,Europe,EVT-JUL-000008,political,"The Kingdom of Poland and the Grand Duchy of Lithuania confirm a real union, creating the Polish–Lithuanian Commonwealth.",Union of Lublin,"July 1, 1569 CE",https://en.wikipedia.org/wiki/July_1,1569-07-01,Lublin,"July 1, 1569",Wikipedia — July 1,exact,Union,Poland; Lithuania,Gregorian,verified,,Kingdom of Poland; Grand Duchy of Lithuania; Polish–Lithuanian Commonwealth,international,secondary reference compilation,20,source-verified,20,8
1,CE,1643,July,,Europe,EVT-JUL-000009,religion,"The Westminster Assembly, a council of theologians and members of the English Parliament appointed to restructure the Church of England, meets at Westminster Abbey.",First meeting of the Westminster Assembly,"July 1, 1643 CE",https://en.wikipedia.org/wiki/July_1,1643-07-01,London,"July 1, 1643",Wikipedia — July 1,exact,Church assembly,United Kingdom,Gregorian,verified,,Church of England; Parliament of England,international,secondary reference compilation,20,source-verified,20,6
1,CE,1690,July,,Europe,EVT-JUL-000010,war,Marshal de Luxembourg defeats an Anglo-Dutch army at the Battle of Fleurus during the War of the Grand Alliance.,Battle of Fleurus,"July 1, 1690 CE",https://en.wikipedia.org/wiki/July_1,1690-07-01,Fleurus,"July 1, 1690",Wikipedia — July 1,exact,Battle,Belgium,Gregorian,verified,Marshal de Luxembourg,War of the Grand Alliance,international,secondary reference compilation,20,source-verified,20,8
1,CE,1690,July,Date is reckoned under the Julian calendar.; calendar_date is a proleptic-Gregorian normalization of the stated Julian date.,Europe,EVT-JUL-000011,war,The Battle of the Boyne takes place in Ireland during the Glorious Revolution.,Battle of the Boyne,"July 11, 1690 CE (normalized Gregorian)",https://en.wikipedia.org/wiki/July_1,1690-07-11,,"July 1, 1690 (Julian calendar)",Wikipedia — July 1,exact,Battle,Ireland,Julian (original); proleptic Gregorian (normalized),verified,,Glorious Revolution,international,secondary reference compilation,20,source-verified,20,8
1,CE,1766,July,,Europe,EVT-JUL-000012,law,François-Jean de la Barre is tortured and beheaded before his body is burned with a copy of Voltaire's Dictionnaire philosophique for failing to salute a Roman Catholic religious procession.,Execution of François-Jean de la Barre,"July 1, 1766 CE",https://en.wikipedia.org/wiki/July_1,1766-07-01,Abbeville,"July 1, 1766",Wikipedia — July 1,exact,Religious prosecution,France,Gregorian,verified,François-Jean de la Barre; Voltaire,Roman Catholic authorities,international,secondary reference compilation,20,source-verified,20,6
1,CE,1770,July,,Global,EVT-JUL-000013,science,"Lexell's Comet is observed closer to Earth than any other comet in recorded history, at a distance of 0.0146 astronomical units.",Lexell's Comet approaches Earth,"July 1, 1770 CE",https://en.wikipedia.org/wiki/July_1,1770-07-01,,"July 1, 1770",Wikipedia — July 1,exact,Astronomy,,Gregorian,verified,,,international,secondary reference compilation,20,source-verified,20,7
1,CE,1782,July,,Americas,EVT-JUL-000014,war,"American privateers attack the British settlement of Lunenburg, Nova Scotia.",Raid on Lunenburg,"July 1, 1782 CE",https://en.wikipedia.org/wiki/July_1,1782-07-01,Lunenburg,"July 1, 1782",Wikipedia — July 1,exact,Raid,Canada,Gregorian,verified,,British settlement; American privateers,international,secondary reference compilation,20,source-verified,20,8
1,CE,1819,July,,Global,EVT-JUL-000015,science,"Johann Georg Tralles discovers the Great Comet of 1819, the first comet analyzed using polarimetry by François Arago.",Discovery of the Great Comet of 1819,"July 1, 1819 CE",https://en.wikipedia.org/wiki/July_1,1819-07-01,,"July 1, 1819",Wikipedia — July 1,exact,Astronomy,,Gregorian,verified,Johann Georg Tralles; François Arago,,international,secondary reference compilation,20,source-verified,20,7
1,CE,1823,July,,Americas,EVT-JUL-000016,independence,"Guatemala, El Salvador, Honduras, Nicaragua, and Costa Rica declare independence from the First Mexican Empire.",Central American nations declare independence from Mexico,"July 1, 1823 CE",https://en.wikipedia.org/wiki/July_1,1823-07-01,,"July 1, 1823",Wikipedia — July 1,exact,Declaration of independence,Guatemala; El Salvador; Honduras; Nicaragua; Costa Rica,Gregorian,verified,,First Mexican Empire,international,secondary reference compilation,20,source-verified,20,8
1,CE,1837,July,,Europe,EVT-JUL-000017,law,"A system of civil registration for births, marriages, and deaths is established in England and Wales.",Civil registration established in England and Wales,"July 1, 1837 CE",https://en.wikipedia.org/wiki/July_1,1837-07-01,,"July 1, 1837",Wikipedia — July 1,exact,Civil registration,United Kingdom,Gregorian,verified,,England and Wales,international,secondary reference compilation,20,source-verified,20,6
1,CE,1841,July,,Oceania,EVT-JUL-000018,science,Thomas Lempriere and James Clark Ross carve a marker on the Isle of the Dead in Van Diemen's Land to measure tidal variations.,Tidal benchmark carved on the Isle of the Dead,"July 1, 1841 CE",https://en.wikipedia.org/wiki/July_1,1841-07-01,,"July 1, 1841",Wikipedia — July 1,exact,Sea-level measurement,Australia,Gregorian,verified,Thomas Lempriere; James Clark Ross,,regional,secondary reference compilation,20,source-verified,20,7
1,CE,1855,July,,Americas,EVT-JUL-000019,political,The Quinault and the Quileute cede their land to the United States through the Quinault Treaty.,Quinault Treaty signed,"July 1, 1855 CE",https://en.wikipedia.org/wiki/July_1,1855-07-01,,"July 1, 1855",Wikipedia — July 1,exact,Land cession treaty,United States,Gregorian,verified,,Quinault; Quileute; United States,international,secondary reference compilation,20,source-verified,20,8
1,CE,1858,July,,Europe,EVT-JUL-000020,science,Papers by Charles Darwin and Alfred Russel Wallace on evolution are jointly read to the Linnean Society of London.,Joint reading of Darwin and Wallace papers,"July 1, 1858 CE",https://en.wikipedia.org/wiki/July_1,1858-07-01,London,"July 1, 1858",Wikipedia — July 1,exact,Evolutionary theory,United Kingdom,Gregorian,verified,Charles Darwin; Alfred Russel Wallace,Linnean Society of London,international,secondary reference compilation,20,source-verified,20,7
2,CE,311,July,,Europe,EVT-JUL-000021,religion,The papacy of Pope Miltiades began.,Beginning of the papacy of Pope Miltiades,"July 2, 311 CE",https://en.wikipedia.org/wiki/July_2,0311-07-02,,311,Wikipedia — July 2,exact,papal succession,,Gregorian,verified,Pope Miltiades,Papacy,international,secondary reference compilation,20,source-verified,20,6
2,CE,626,July,The supplied text states that the date corresponds to the fourth day of the sixth month of the ninth year of the Wude era in the Julian calendar.; calendar_date is a proleptic-Gregorian normalization of the stated Julian date.,Asia,EVT-JUL-000022,war,Li Shimin ambushed and killed his rival brothers Li Yuanji and Li Jiancheng.,Xuanwu Gate Incident,"July 5, 626 CE (normalized Gregorian)",https://en.wikipedia.org/wiki/July_2,0626-07-05,,"July 2, 626 (Julian calendar)",Wikipedia — July 2,exact,palace coup,China,Julian (original); proleptic Gregorian (normalized),verified,Li Shimin; Li Yuanji; Li Jiancheng,Tang dynasty,international,secondary reference compilation,20,source-verified,20,8
2,CE,866,July,,Europe,EVT-JUL-000023,war,The Franks led by Robert the Strong were defeated by a joint Breton-Viking army.,Battle of Brissarthe,"July 2, 866 CE",https://en.wikipedia.org/wiki/July_2,0866-07-02,Brissarthe,866,Wikipedia — July 2,exact,battle,France,Gregorian,verified,Robert the Strong,Franks,international,secondary reference compilation,20,source-verified,20,8
2,CE,1298,July,,Europe,EVT-JUL-000024,war,Albert I of Habsburg defeated Adolf of Nassau-Weilburg.,Battle of Göllheim,"July 2, 1298 CE",https://en.wikipedia.org/wiki/July_2,1298-07-02,Göllheim,1298,Wikipedia — July 2,exact,battle,Germany,Gregorian,verified,Albert I of Habsburg; Adolf of Nassau-Weilburg,,international,secondary reference compilation,20,source-verified,20,8
2,CE,1494,July,,Europe,EVT-JUL-000025,political,The Treaty of Tordesillas was ratified by Spain.,Ratification of the Treaty of Tordesillas,"July 2, 1494 CE",https://en.wikipedia.org/wiki/July_2,1494-07-02,,1494,Wikipedia — July 2,exact,treaty ratification,Spain,Gregorian,verified,,Spanish monarchy,international,secondary reference compilation,20,source-verified,20,8
