Day,Era,Year,Month,Notes,Region,Event ID,Event type,Description,Event title,Date display,Source 1 URL,Source 2 URL,Calendar date,City location,Original date,Source 1 name,Source 2 name,Date certainty,Event category,Modern country,Calendar system,Coverage status,People involved,Historical entity,Significance scope,Source reliability,Target event count,Verification status,Verified event count,Historical significance score
1,CE,1327,February,The country was ruled by Queen Isabella and Roger Mortimer. Listed under this Gregorian calendar date; original historical calendar/date is not separately stated by the source.,Europe,FEB-01-1327-01,political,"The teenaged Edward III is crowned King of England, but the country is ruled by his mother Queen Isabella and her lover Roger Mortimer.","The teenaged Edward III is crowned King of England, but the country is ruled by his mother Queen Isabella and her lover Roger Mortimer.",1 February 1327 CE,https://en.wikipedia.org/wiki/February_1,,--02-01,,"Not separately stated; listed as February 1, 1327",Wikipedia — February 1,,exact,English coronation,United Kingdom,Gregorian calendar date-page normalization,meets target,Edward III; Queen Isabella; Roger Mortimer,Kingdom of England,national,Wikipedia date-page; single-source verification,20,verified—single source,20,8
1,CE,1411,February,Listed under this Gregorian calendar date; original historical calendar/date is not separately stated by the source.,Europe,FEB-01-1411-02,political,"The First Peace of Thorn is signed in Thorn (Toruń), Monastic State of the Teutonic Knights (Prussia).","The First Peace of Thorn is signed in Thorn (Toruń), Monastic State of the Teutonic Knights (Prussia).",1 February 1411 CE,https://en.wikipedia.org/wiki/February_1,,--02-01,Thorn (Toruń),"Not separately stated; listed as February 1, 1411",Wikipedia — February 1,,exact,Peace of Thorn,Poland,Gregorian calendar date-page normalization,meets target,,Monastic State of the Teutonic Knights,regional,Wikipedia date-page; single-source verification,20,verified—single source,20,7
1,CE,1662,February,The siege lasted nine months. Listed under this Gregorian calendar date; original historical calendar/date is not separately stated by the source.,Asia,FEB-01-1662-03,war,The Chinese general Koxinga seizes the island of Taiwan after a nine-month siege.,The Chinese general Koxinga seizes the island of Taiwan after a nine-month siege.,1 February 1662 CE,https://en.wikipedia.org/wiki/February_1,,--02-01,,"Not separately stated; listed as February 1, 1662",Wikipedia — February 1,,exact,Koxinga conquest of Taiwan,Taiwan,Gregorian calendar date-page normalization,meets target,Koxinga,Taiwan,regional,Wikipedia date-page; single-source verification,20,verified—single source,20,8
1,CE,1793,February,Listed under this Gregorian calendar date; original historical calendar/date is not separately stated by the source.,Europe,FEB-01-1793-04,war,French Revolutionary Wars: France declares war on the United Kingdom and the Netherlands.,French Revolutionary Wars: France declares war on the United Kingdom and the Netherlands.,1 February 1793 CE,https://en.wikipedia.org/wiki/February_1,,--02-01,,"Not separately stated; listed as February 1, 1793",Wikipedia — February 1,,exact,French Revolutionary Wars,France; United Kingdom; Netherlands,Gregorian calendar date-page normalization,meets target,,French Revolutionary Wars,global,Wikipedia date-page; single-source verification,20,verified—single source,20,9
1,CE,1814,February,"Around 1,200 people were killed; described as the volcano's most devastating eruption. Listed under this Gregorian calendar date; original historical calendar/date is not separately stated by the source.",Asia,FEB-01-1814-05,disaster,"Mayon in the Philippines erupts, killing around 1,200 people, which was the most devastating eruption of the volcano.","Mayon in the Philippines erupts, killing around 1,200 people, which was the most devastating eruption of the volcano.",1 February 1814 CE,https://en.wikipedia.org/wiki/February_1,,--02-01,,"Not separately stated; listed as February 1, 1814",Wikipedia — February 1,,exact,Mayon eruption,Philippines,Gregorian calendar date-page normalization,meets target,,Mayon,national,Wikipedia date-page; single-source verification,20,verified—single source,20,7
1,CE,1835,February,Listed under this Gregorian calendar date; original historical calendar/date is not separately stated by the source.,Africa,FEB-01-1835-06,independence,Slavery is abolished in Mauritius.,Slavery is abolished in Mauritius.,1 February 1835 CE,https://en.wikipedia.org/wiki/February_1,,--02-01,,"Not separately stated; listed as February 1, 1835",Wikipedia — February 1,,exact,Abolition of slavery,Mauritius,Gregorian calendar date-page normalization,meets target,,Mauritius,national,Wikipedia date-page; single-source verification,20,verified—single source,20,8
1,CE,1861,February,Texas joined the Confederacy a week later. Listed under this Gregorian calendar date; original historical calendar/date is not separately stated by the source.,Americas,FEB-01-1861-07,independence,American Civil War: Texas secedes from the United States and joins the Confederacy a week later.,American Civil War: Texas secedes from the United States and joins the Confederacy a week later.,1 February 1861 CE,https://en.wikipedia.org/wiki/February_1,,--02-01,,"Not separately stated; listed as February 1, 1861",Wikipedia — February 1,,exact,Texas secession,United States,Gregorian calendar date-page normalization,meets target,,Texas; Confederate States of America,national,Wikipedia date-page; single-source verification,20,verified—single source,20,9
1,CE,1864,February,Prussian forces crossed the border into Schleswig. Listed under this Gregorian calendar date; original historical calendar/date is not separately stated by the source.,Europe,FEB-01-1864-08,war,"Second Schleswig War: Prussian forces crossed the border into Schleswig, starting the war.","Second Schleswig War: Prussian forces crossed the border into Schleswig, starting the war.",1 February 1864 CE,https://en.wikipedia.org/wiki/February_1,,--02-01,Schleswig,"Not separately stated; listed as February 1, 1864",Wikipedia — February 1,,exact,Second Schleswig War,Germany; Denmark,Gregorian calendar date-page normalization,meets target,,Second Schleswig War,regional,Wikipedia date-page; single-source verification,20,verified—single source,20,8
1,CE,1865,February,Listed under this Gregorian calendar date; original historical calendar/date is not separately stated by the source.,Americas,FEB-01-1865-09,political,President Abraham Lincoln signs the Thirteenth Amendment to the United States Constitution.,President Abraham Lincoln signs the Thirteenth Amendment to the United States Constitution.,1 February 1865 CE,https://en.wikipedia.org/wiki/February_1,,--02-01,,"Not separately stated; listed as February 1, 1865",Wikipedia — February 1,,exact,Thirteenth Amendment,United States,Gregorian calendar date-page normalization,meets target,Abraham Lincoln,United States Constitution,national,Wikipedia date-page; single-source verification,20,verified—single source,20,10
1,CE,1884,February,The first volume covered A to Ant. Listed under this Gregorian calendar date; original historical calendar/date is not separately stated by the source.,Europe,FEB-01-1884-10,literature_culture,The first volume (A to Ant) of the Oxford English Dictionary is published.,The first volume (A to Ant) of the Oxford English Dictionary is published.,1 February 1884 CE,https://en.wikipedia.org/wiki/February_1,,--02-01,,"Not separately stated; listed as February 1, 1884",Wikipedia — February 1,,exact,Oxford English Dictionary,United Kingdom,Gregorian calendar date-page normalization,meets target,,Oxford English Dictionary,global,Wikipedia date-page; single-source verification,20,verified—single source,20,8
