Day,Era,Year,Month,Notes,Region,Event ID,Event type,Description,Event title,Date display,Source 1 URL,Calendar date,Original date,Source 1 name,Date certainty,Event category,Modern country,Calendar system,Coverage status,Significance scope,Source reliability,Target event count,Verification status,Verified event count,Historical significance score
1,CE,1862,December,Date page uses modern date presentation; original calendar date is not stated.,North America,GHC-DEC-1-01,Conflict / political violence,"On 1 December 1862 CE, American Civil War: In his second State of the Union Address, President Abraham Lincoln reaffirms the necessity of ending slavery as ordered ten weeks earlier in the Emancipation Proclamation.","American Civil War: In his second State of the Union Address, President Abraham Lincoln reaffirms the necessity of ending slavery as ordered ten weeks earlier in the Emancipation Proclamation.",1 December 1862 CE,https://en.wikipedia.org/wiki/December_1,December 1,Not stated in source,Wikipedia — December 1,Exact date as listed,Military and conflict,United States,Calendar system not specified by source,Target met,International / transnational,Secondary reference source,20,Verified against cited date-page entry,20,100
1,CE,1989,December,Date page uses modern date presentation; original calendar date is not stated.,Europe,GHC-DEC-1-02,Conflict / political violence,"On 1 December 1989 CE, Cold War: East Germany's parliament abolishes the constitutional provision granting the Communist Party the leading role in the state.",Cold War: East Germany's parliament abolishes the constitutional provision granting the Communist Party the leading role in the state.,1 December 1989 CE,https://en.wikipedia.org/wiki/December_1,December 1,Not stated in source,Wikipedia — December 1,Exact date as listed,Military and conflict,Germany,Calendar system not specified by source,Target met,International / transnational,Secondary reference source,20,Verified against cited date-page entry,20,100
1,CE,1991,December,Date page uses modern date presentation; original calendar date is not stated.,Europe,GHC-DEC-1-03,Conflict / political violence,"On 1 December 1991 CE, Cold War: Ukrainian voters overwhelmingly approve a referendum for independence from the Soviet Union.",Cold War: Ukrainian voters overwhelmingly approve a referendum for independence from the Soviet Union.,1 December 1991 CE,https://en.wikipedia.org/wiki/December_1,December 1,Not stated in source,Wikipedia — December 1,Exact date as listed,Military and conflict,Russia,Calendar system not specified by source,Target met,International / transnational,Secondary reference source,20,Verified against cited date-page entry,20,100
1,CE,1934,December,Date page uses modern date presentation; original calendar date is not stated.,Europe,GHC-DEC-1-04,Conflict / political violence,"On 1 December 1934 CE, Sergei Kirov is assassinated, paving way for the repressive Great Purge, and Vinnytsia massacre by General Secretary of the Communist Party of the Soviet Union, Joseph Stalin.","Sergei Kirov is assassinated, paving way for the repressive Great Purge, and Vinnytsia massacre by General Secretary of the Communist Party of the Soviet Union, Joseph Stalin.",1 December 1934 CE,https://en.wikipedia.org/wiki/December_1,December 1,Not stated in source,Wikipedia — December 1,Exact date as listed,Military and conflict,Russia,Calendar system not specified by source,Target met,International / transnational,Secondary reference source,20,Verified against cited date-page entry,20,100
1,CE,1900,December,Date page uses modern date presentation; original calendar date is not stated.,,GHC-DEC-1-05,Political change,"On 1 December 1900 CE, Nicaragua sells canal rights to U.S. for $5 million. The canal agreement fails in March 1901. Great Britain rejects the amended treaty.",Nicaragua sells canal rights to U.S. for $5 million. The canal agreement fails in March 1901. Great Britain rejects the amended treaty.,1 December 1900 CE,https://en.wikipedia.org/wiki/December_1,December 1,Not stated in source,Wikipedia — December 1,Exact date as listed,Politics and governance,,Calendar system not specified by source,Target met,International / transnational,Secondary reference source,20,Verified against cited date-page entry,20,99
1,CE,1913,December,Date page uses modern date presentation; original calendar date is not stated.,Europe,GHC-DEC-1-06,Conflict / political violence,"On 1 December 1913 CE, Crete, having obtained self rule from Turkey after the First Balkan War, is annexed by Greece.","Crete, having obtained self rule from Turkey after the First Balkan War, is annexed by Greece.",1 December 1913 CE,https://en.wikipedia.org/wiki/December_1,December 1,Not stated in source,Wikipedia — December 1,Exact date as listed,Military and conflict,Greece,Calendar system not specified by source,Target met,International,Secondary reference source,20,Verified against cited date-page entry,20,91
1,CE,1955,December,Date page uses modern date presentation; original calendar date is not stated.,North America,GHC-DEC-1-07,Legal and social change,"On 1 December 1955 CE, American Civil Rights Movement: In Montgomery, Alabama, seamstress Rosa Parks refuses to give up her bus seat to a white man and is arrested for violating the city's racial segregation laws, an incident which leads to that city's bus boycott.","American Civil Rights Movement: In Montgomery, Alabama, seamstress Rosa Parks refuses to give up her bus seat to a white man and is arrested for violating the city's racial segregation laws, an incident which leads to that city's bus boycott.",1 December 1955 CE,https://en.wikipedia.org/wiki/December_1,December 1,Not stated in source,Wikipedia — December 1,Exact date as listed,Law and society,United States,Calendar system not specified by source,Target met,International,Secondary reference source,20,Verified against cited date-page entry,20,90
1,CE,1824,December,Date page uses modern date presentation; original calendar date is not stated.,North America,GHC-DEC-1-08,Political change,"On 1 December 1824 CE, United States presidential election: Since no candidate received a majority of the total electoral college votes in the election, the United States House of Representatives is given the task of deciding the winner in accordance with the Twelfth Amendment to the United States Constitution.","United States presidential election: Since no candidate received a majority of the total electoral college votes in the election, the United States House of Representatives is given the task of deciding the winner in accordance with the Twelfth Amendment to the United States Constitution.",1 December 1824 CE,https://en.wikipedia.org/wiki/December_1,December 1,Not stated in source,Wikipedia — December 1,Exact date as listed,Politics and governance,United States,Calendar system not specified by source,Target met,International,Secondary reference source,20,Verified against cited date-page entry,20,89
1,CE,1939,December,Date page uses modern date presentation; original calendar date is not stated.,Europe,GHC-DEC-1-09,Conflict / political violence,"On 1 December 1939 CE, World War II: A day after the beginning of the Winter War in Finland, the Cajander III Cabinet resigns and is replaced by the Ryti I Cabinet, while the Finnish Parliament move from Helsinki to Kauhajoki to escape the Soviet airstrikes.","World War II: A day after the beginning of the Winter War in Finland, the Cajander III Cabinet resigns and is replaced by the Ryti I Cabinet, while the Finnish Parliament move from Helsinki to Kauhajoki to escape the Soviet airstrikes.",1 December 1939 CE,https://en.wikipedia.org/wiki/December_1,December 1,Not stated in source,Wikipedia — December 1,Exact date as listed,Military and conflict,Russia,Calendar system not specified by source,Target met,International,Secondary reference source,20,Verified against cited date-page entry,20,87
1,CE,1959,December,Date page uses modern date presentation; original calendar date is not stated.,,GHC-DEC-1-10,Conflict / political violence,"On 1 December 1959 CE, Cold War: Opening date for signature of the Antarctic Treaty, which sets aside Antarctica as a scientific preserve and bans military activity on the continent.","Cold War: Opening date for signature of the Antarctic Treaty, which sets aside Antarctica as a scientific preserve and bans military activity on the continent.",1 December 1959 CE,https://en.wikipedia.org/wiki/December_1,December 1,Not stated in source,Wikipedia — December 1,Exact date as listed,Military and conflict,,Calendar system not specified by source,Target met,International,Secondary reference source,20,Verified against cited date-page entry,20,87
